rank,scripts_file_count,repo,mainLanguage,stars,forks,commits,contributors
664,2,OpenHands/software-agent-sdk,Python,578,173,1243.0,65.0
665,2,zai-org/GLM-Image,Python,815,55,51.0,2.0
666,2,Open-Quant/openquant,Rust,29,3,76.0,1.0
667,2,automagik-dev/genie,TypeScript,256,35,2103.0,17.0
668,2,Array-Ventures/coworker,TypeScript,14,7,105.0,3.0
669,2,NomaDamas/AutoRAG-Research,Python,84,16,120.0,2.0
670,2,fabio-rovai/open-ontologies,Rust,21,3,163.0,1.0
671,2,atlassian/atlassian-mcp-server,JavaScript,437,44,69.0,12.0
672,2,MarketSquare/robotframework-browser,Python,633,140,6015.0,64.0
673,2,HKUSTDial/DeepEar,Python,64,8,68.0,1.0
674,2,mem0ai/mem0,Python,49836,5568,1923.0,260.0
675,2,GoogleCloudPlatform/gke-mcp,Go,130,53,137.0,21.0
676,2,allenporter/home-assistant-synthetic-home,Python,16,3,844.0,3.0
677,2,mcpc-tech/mcpc,TypeScript,81,9,525.0,4.0
678,2,letta-ai/agent-file,TypeScript,1020,97,146.0,6.0
679,2,pubkey/rxdb,TypeScript,23081,1152,13880.0,270.0
680,2,matrixhub-ai/matrixhub,Go,58,17,214.0,18.0
681,2,evalstate/fast-agent,Python,3707,396,1694.0,62.0
682,2,carere/zaidan,TypeScript,59,1,256.0,1.0
683,2,r9s-ai/open-next-router,Go,13,1,194.0,2.0
684,2,marcus/nightshift,Go,901,36,170.0,9.0
685,2,nyaomaru/is-kit,TypeScript,29,0,379.0,3.0
686,2,IJONIS/geo-lint,TypeScript,15,1,29.0,1.0
687,2,ranyitz/aicm,TypeScript,36,3,200.0,2.0
688,2,GoogleChromeLabs/web-ai-demos,JavaScript,288,67,510.0,13.0
689,2,nhost/nhost,TypeScript,9104,560,7948.0,139.0
690,2,realmorrisliu/openrouter-rs,Rust,58,14,234.0,5.0
691,2,remix-run/remix,TypeScript,32479,2730,8053.0,763.0
692,2,lucasygu/redbook,TypeScript,175,13,50.0,1.0
693,2,bionic-gpt/daisy-rsx,Rust,191,19,247.0,4.0
694,2,lorehq/lore,Go,22,2,92.0,1.0
695,2,alibaba/spring-ai-alibaba,Java,8729,1913,3116.0,224.0
696,2,lnxjedi/gopherbot,Go,61,10,2438.0,9.0
697,2,livesession/xyd,TypeScript,103,7,414.0,6.0
698,2,letta-ai/letta-evals,Python,60,7,232.0,9.0
699,2,alibaba/neug,C++,54,8,29.0,7.0
700,2,dotnet/dev-proxy,C#,782,80,842.0,26.0
701,2,leather-io/mono,TypeScript,27,16,3991.0,39.0
702,2,dotnet/aspnetcore,C#,37777,10602,55993.0,1553.0
703,2,saxenauts/syke,Python,13,1,226.0,1.0
704,2,onsails/cc,Python,18,0,56.0,1.0
705,2,dotnet/android,C#,2101,566,6303.0,135.0
706,2,coji/durably,TypeScript,19,0,382.0,1.0
707,2,cladam/tbdflow,Rust,39,2,442.0,2.0
708,2,brainqub3/brainqub3,Python,11,11,17.0,1.0
709,2,msgbyte/tianji,TypeScript,3015,188,2061.0,15.0
710,2,lance-format/lance-context,Rust,62,9,53.0,6.0
711,2,ckanner/jta,Go,126,5,76.0,1.0
712,2,shaniidev/bug-reaper,Python,23,4,7.0,1.0
713,2,lance-format/lance,Rust,6173,585,3647.0,185.0
714,2,shutootaki/gwm,Rust,14,0,300.0,2.0
715,2,simnova/sharethrift,TypeScript,19,0,1841.0,21.0
716,2,JaredStewart/coderlm,Rust,186,16,14.0,1.0
717,2,RightCapitalHQ/chinese-style-guide,Python,99,7,23.0,6.0
718,2,civitai/civitai,TypeScript,7032,709,19745.0,30.0
719,2,hodgesmr/agent-fecfile,Python,31,2,101.0,2.0
720,2,oocx/tfplan2md,C#,148,8,2528.0,5.0
721,2,mindspore-ai/akg,Python,248,45,2337.0,103.0
722,2,SkyworkAI/DeepResearchAgent,Python,3240,428,132.0,4.0
723,2,anombyte93/prd-taskmaster,Python,149,15,40.0,4.0
724,2,antdigital-ai/agentic-ui,TypeScript,183,31,4777.0,33.0
725,2,datahub-project/datahub,Java,11660,3393,14060.0,720.0
726,2,googleads/google-ads-api-developer-assistant,Python,64,10,108.0,1.0
727,2,datagrok-ai/public,TypeScript,67,28,29094.0,120.0
728,2,srod/node-minify,TypeScript,516,50,5116.0,37.0
729,2,Soju06/codex-lb,Python,190,43,261.0,21.0
730,2,openclaw-rocks/k8s-operator,Go,198,38,367.0,11.0
731,2,sun-guannan/VectCutAPI,Python,1689,363,182.0,6.0
732,2,gdsfactory/gdsfactory,Python,876,367,15313.0,133.0
733,2,benbjohnson/litestream,Go,13338,346,611.0,24.0
734,2,brandonwise/humanizer,JavaScript,21,1,13.0,3.0
735,2,alonw0/llm-docs-optimizer,Python,52,1,3.0,1.0
736,2,swarm-ai-safety/swarm,Python,16,4,1499.0,6.0
737,2,sytelus/nanuGPT,Python,13,1,954.0,2.0
738,2,google/adk-python,Python,18360,3077,2319.0,258.0
739,2,tadashi-aikawa/obsidian-another-quick-switcher,TypeScript,372,22,1024.0,8.0
740,2,talmolab/sleap-io,Python,21,15,283.0,16.0
741,2,kilolonion/excelmanus,Python,25,0,186.0,3.0
742,2,teng-lin/notebooklm-py,Python,5690,702,567.0,11.0
743,2,terkelg/anki-markdown,Python,12,0,126.0,2.0
744,2,keepnotes-ai/keep,Python,22,1,632.0,2.0
745,2,aiming-lab/SimpleMem,Python,3188,311,57.0,13.0
746,2,thc1006/nephoran-intent-operator,Go,16,3,1013.0,5.0
747,2,thebearwithabite/ai-file-organizer,Python,30,4,252.0,4.0
748,2,aikarjal/wilmai,JavaScript,22,3,54.0,2.0
749,2,timeplus-io/proton,C++,2163,106,84483.0,1322.0
750,2,kazukinagata/shinkoku,Python,308,29,157.0,2.0
751,2,geminimir/stripemeter,TypeScript,22,6,197.0,3.0
752,2,tobi/qmd,TypeScript,15341,898,364.0,47.0
753,2,dotnet/sdk,C#,3070,1217,112073.0,979.0
754,2,tokentopapp/tokentop,TypeScript,37,3,239.0,5.0
755,2,tom-byte-sys/OpenPollen,TypeScript,41,6,46.0,1.0
756,2,kagent-dev/kagent,Go,2342,430,1084.0,112.0
757,2,k-kolomeitsev/data-structure-protocol,Python,23,1,4.0,1.0
758,2,tpn/perfecthash,C,88,15,1180.0,2.0
759,2,VimCommando/kibana-object-manager,Rust,11,2,121.0,3.0
760,2,jwa91/n8nmermaid,Python,16,2,19.0,2.0
761,2,chrispyers/openkiwi,TypeScript,80,6,190.0,3.0
762,2,justeattakeaway/pie,TypeScript,35,11,2018.0,36.0
763,2,jshph/aside,Rust,10,0,46.0,2.0
764,2,GGPrompts/TabzChrome,TypeScript,134,10,1074.0,1.0
765,2,nclamvn/bom-cham,TypeScript,24,13,26.0,1.0
766,2,SawyerHood/sawyer-mart,JavaScript,70,4,10.0,1.0
767,2,jongwony/epistemic-protocols,JavaScript,68,7,507.0,2.0
768,2,johnhuang316/code-index-mcp,Python,829,101,200.0,15.0
769,2,joeseesun/qiaomu-mondo-poster-design,Python,460,42,7.0,1.0
770,2,vace/markdown-docx,TypeScript,268,41,81.0,4.0
771,2,gleachkr/Lectic,TypeScript,10,0,788.0,1.0
772,2,Kesin11/actions-timeline,TypeScript,328,7,576.0,5.0
773,2,Tideseed/eptr2,Python,20,3,227.0,2.0
774,2,jdubray/puffin,JavaScript,17,5,258.0,1.0
775,2,Princeton-AI2-Lab/Avenir-Web,Python,18,0,22.0,2.0
776,2,ossrs/srs,C++,28617,5657,8923.0,150.0
777,2,jdiegosierra/contributor-report,TypeScript,62,0,43.0,2.0
778,2,microsoft/semantic-link-labs,Python,482,169,2060.0,28.0
779,2,novotnyllc/dotnet-artisan,Python,191,10,602.0,2.0
780,2,ownpilot/OwnPilot,TypeScript,227,30,752.0,4.0
781,2,TidyBot-Services/Tidybot-Universe,Python,21,1,69.0,6.0
782,2,crafter-station/elements,TypeScript,403,22,433.0,7.0
783,2,gyrinx-app/gyrinx,Python,10,6,1363.0,5.0
784,2,doggy8088/caption-convert,JavaScript,11,0,5.0,1.0
785,2,Knuckles-Team/servicenow-api,Python,16,2,500.0,5.0
786,2,agent-network-protocol/anp,Python,288,49,218.0,14.0
787,2,esceptico/ntrp,Python,56,9,378.0,3.0
788,2,PoxenStudio/talebook,JavaScript,68,1,1931.0,16.0
789,2,allenporter/pyrainbird,Python,66,34,1050.0,16.0
790,2,ivogarais/vizdantic,Python,14,0,52.0,2.0
791,2,microsoft/aitour26-WRK541-real-world-code-migration-with-github-copilot-agent-mode,C#,406,67,104.0,12.0
792,2,wdkwdkwdk/DataWowsight,TypeScript,74,4,32.0,1.0
793,2,web-infra-dev/rslint,TypeScript,380,20,424.0,26.0
794,2,PowerShell/PowerShell,C#,51866,8221,11380.0,543.0
795,2,whitejoce/Get_Weather,Python,12,2,187.0,2.0
796,2,damionrashford/RivalSearchMCP,Python,54,14,87.0,4.0
797,2,SoundBlaster/XcodeMCPWrapper,Python,15,1,1586.0,4.0
798,2,williballenthin/idawilli,Python,169,28,362.0,12.0
799,2,imjuya/juya-news-card,TypeScript,75,10,24.0,4.0
800,2,i-am-bee/agentstack,Python,1035,158,2161.0,34.0
801,2,VisActor/VBI,TypeScript,22,5,1870.0,14.0
802,2,SpillwaveSolutions/agent-brain,Python,61,12,365.0,3.0
803,2,PinW/whisper-key-local,Python,113,19,430.0,3.0
804,2,subframe7536/kysely-sqlite-builder,TypeScript,18,2,145.0,2.0
805,2,adeze/raindrop-mcp,TypeScript,131,22,353.0,3.0
806,2,phi-friday/joblib-stubs,Python,10,1,189.0,2.0
807,2,Lianggs8/auto-survey-agent,Python,10,0,9.0,1.0
808,2,Whamp/pi-rlm,Python,13,2,44.0,2.0
809,2,yearn/yearn-devdocs,TypeScript,88,90,432.0,58.0
810,2,Whamp/pi-read-map,TypeScript,12,2,67.0,3.0
811,2,goern/forgejo-mcp,Go,35,10,281.0,23.0
812,2,arjunkmrm/recall,Python,110,7,24.0,2.0
813,2,daffy0208/ai-dev-standards,TypeScript,20,6,189.0,2.0
814,2,getsentry/sentry-python,Python,2153,590,3719.0,302.0
815,2,philschmid/mcp-cli,TypeScript,1000,103,30.0,2.0
816,2,castorini/ragnarok,Python,63,9,77.0,3.0
817,1,creatify-ai/video-ad-reverse-engineer,Python,20,0,2.0,1.0
818,1,ythx-101/ask-search,Python,199,18,8.0,3.0
819,1,Zhen-Bo/pragmatic-clean-code-reviewer,Python,101,8,4.0,1.0
820,1,ZhenHuangLab/collaborating-with-gemini-cli,Python,20,3,3.0,1.0
821,1,quailyquaily/aqua,Go,244,14,55.0,1.0
822,1,EisonMe/newspaper-brief,Python,37,4,6.0,1.0
823,1,LottieFiles/dotlottie-web,TypeScript,467,29,424.0,22.0
824,1,jackwener/xhs-cli,Python,362,34,57.0,1.0
825,1,GuDaStudio/collaborating-with-gemini,Python,12,3,6.0,2.0
826,1,kfastov/tgcli,JavaScript,35,17,78.0,1.0
827,1,TurixAI/TuriX-CUA,Python,1533,166,188.0,4.0
828,1,GuDaStudio/collaborating-with-codex,Python,120,11,5.0,2.0
829,1,kromahlusenii-ops/ham,JavaScript,25,1,50.0,2.0
830,1,ViffyGwaanl/glm-image,Python,10,2,2.0,1.0
831,1,BuildGreatProducts/plaid,JavaScript,17,3,33.0,2.0
832,1,creatify-ai/ad-creative-evaluator,Python,19,0,3.0,1.0
833,1,tmustier/pi-extensions,TypeScript,100,6,245.0,2.0
834,1,cathrynlavery/repo-atlas,Python,19,2,3.0,1.0
835,1,debridge-finance/debridge-mcp,TypeScript,29,2,32.0,3.0
836,1,DenisSergeevitch/youtube-poop-video-maker,Python,28,0,5.0,1.0
837,1,abracadabra50/uk-grocery-cli,TypeScript,11,3,36.0,4.0
838,1,JinHo-von-Choi/memento-mcp,JavaScript,74,13,162.0,1.0
839,1,dannote/figma-use,TypeScript,495,32,310.0,1.0
840,1,cascade-protocol/sati,TypeScript,16,1,165.0,1.0
841,1,Hulupeep/Specflow,JavaScript,24,4,96.0,2.0
842,1,s87343472/backlink-pilot,JavaScript,54,9,7.0,1.0
843,1,jzOcb/context-doctor,Python,103,3,3.0,1.0
844,1,vnxfsc/solana-bpf-reverse,Python,17,29,3.0,1.0
845,0,PaulRBerg/prb-effect,TypeScript,19,1,117.0,2.0
846,0,Peiiii/AgentVerse,TypeScript,281,73,419.0,3.0
847,0,Peiiii/skild,TypeScript,103,7,217.0,3.0
848,0,PeterBooker/veloria,Go,10,1,28.0,1.0
849,0,Phala-Network/phala-cloud,TypeScript,13,6,975.0,19.0
850,0,Philra94/homeassistant-hoymiles-cloud,Python,17,3,38.0,4.0
851,0,Piebald-AI/tweakcc,TypeScript,1317,100,473.0,24.0
852,0,PierreZ/moonpool,Rust,25,1,403.0,4.0
853,0,Pipelex/pipelex,Python,630,46,888.0,5.0
854,0,PlatformNetwork/platform,Rust,115,13,705.0,7.0
855,0,PlayFab/gsdk,C++,165,118,217.0,35.0
856,0,Positronic-Robotics/positronic,Python,62,8,1180.0,6.0
857,0,PostHog/duckgres,Go,59,6,407.0,9.0
858,0,PostHog/posthog-foss,Python,464,97,37300.0,441.0
859,0,Pouryaak/LokulMem,TypeScript,16,0,275.0,5.0
860,0,Praeviso/crawl4weibo,Python,27,3,83.0,4.0
861,0,PrefectHQ/fastmcp,Python,23681,1822,3184.0,213.0
862,0,PrefectHQ/prefect,Python,21863,2163,20882.0,415.0
863,0,Priivacy-ai/spec-kitty,Python,912,66,2657.0,47.0
864,0,PrimeIntellect-ai/prime-rl,Python,1145,229,1684.0,54.0
865,0,PrimeIntellect-ai/verifiers,Python,3901,512,1321.0,67.0
866,0,ProgrammerAnthony/Anything-Extract,Python,133,26,25.0,1.0
867,0,Project-HAMi/HAMi,Go,3091,484,1231.0,123.0
868,0,ProjectMagma/Magma,C#,112,1,409.0,3.0
869,0,ProximoSrl/Jarvis.Framework,C#,16,9,1211.0,7.0
870,0,Purple-Horizons/tick-md,JavaScript,13,2,110.0,1.0
871,0,Pushword/Pushword,PHP,21,2,367.0,2.0
872,0,Q00/ouroboros,Python,1284,120,221.0,13.0
873,0,QingJ01/Axiom,Python,22,3,15.0,1.0
874,0,Qiskit/mcp-servers,Python,21,12,658.0,10.0
875,0,QoreDB/QoreDB,TypeScript,12,0,187.0,2.0
876,0,Quintui/depresearch,TypeScript,21,1,12.0,1.0
877,0,QuixiAI/Hexis,Python,553,74,118.0,1.0
878,0,RANDSUM/randsum,TypeScript,12,1,1079.0,4.0
879,0,RESTGroup/rstsr,Rust,52,3,486.0,1.0
880,0,RLinf/RLinf,Python,2760,334,404.0,54.0
881,0,ROBOTIS-GIT/zenoh_ros2_sdk,Python,14,0,58.0,1.0
882,0,Rabithua/Rote,TypeScript,906,62,1092.0,3.0
883,0,RadiumAg/bilibili-favorites,TypeScript,18,0,395.0,3.0
884,0,RaheesAhmed/SajiCode,TypeScript,62,14,76.0,1.0
885,0,Railly/tinte,TypeScript,572,34,687.0,6.0
886,0,RainerSeventeen/paper-tracker,Python,34,7,54.0,1.0
887,0,Rainnny7/RESTfulMC,Java,22,1,821.0,4.0
888,0,Ranch-Hand-Robotics/rde-urdf,TypeScript,15,5,192.0,4.0
889,0,Ratler/dream-team,JavaScript,14,2,49.0,1.0
890,0,RealEstateWebTools/property_web_scraper,TypeScript,109,23,458.0,6.0
891,0,Red-Hat-AI-Innovation-Team/sdg_hub,JavaScript,122,51,330.0,28.0
892,0,Red-Hat-AI-Innovation-Team/training_hub,Python,65,22,95.0,7.0
893,0,RedHat-UX/next-gen-ui-agent,Python,14,4,329.0,10.0
894,0,Redth/Maui.Gtk,C#,85,2,149.0,1.0
895,0,Redth/MauiDevFlow,C#,43,8,221.0,6.0
896,0,ReinforceNow/reinforcenow-cli,Python,109,2,186.0,1.0
897,0,RemarkRemedy/fireplanner,TypeScript,25,4,1007.0,1.0
898,0,Remy349/shadcn-ui-multi-form,TypeScript,58,3,405.0,1.0
899,0,RevylAI/greenlight,Go,1252,83,6.0,4.0
900,0,RicherTunes/Brainarr,C#,32,0,1005.0,6.0
901,0,RickConsole/hydra,TypeScript,15,2,141.0,15.0
902,0,Rika-Labs/sgrep,Rust,39,2,213.0,3.0
903,0,RipeSeed/rs-tunnel,TypeScript,12,2,22.0,2.0
904,0,RoloBits/nestjs-doctor,TypeScript,69,0,211.0,2.0
905,0,RonkTsang/gemini-chat-extension,TypeScript,13,3,63.0,2.0
906,0,RooCodeInc/Roo-Code,TypeScript,22669,2906,7035.0,297.0
907,0,RtlZeroMemory/Rezi,TypeScript,546,14,648.0,3.0
908,0,RtlZeroMemory/Zireael,C,36,3,114.0,2.0
909,0,Rune-kit/rune,JavaScript,35,12,6.0,1.0
910,0,Ruya-AI/cozempic,Python,154,6,57.0,5.0
911,0,RyanWangZf/BioDSA,Python,49,5,97.0,1.0
912,0,Ryandonofrio3/osgrep,TypeScript,1081,68,364.0,14.0
913,0,S1LV4/th0th,TypeScript,123,20,67.0,4.0
914,0,SAP/e-mobility-charging-stations-simulator,TypeScript,208,89,5589.0,25.0
915,0,SAP/fundamental-ngx,TypeScript,290,140,9799.0,109.0
916,0,SAP/spartacus,TypeScript,775,404,10860.0,195.0
917,0,SCStelz/security-investigator,Python,52,19,113.0,3.0
918,0,SGFGOV/medusa-mcp,TypeScript,51,18,28.0,2.0
919,0,SIRHAMY/light-clone,Rust,10,0,73.0,1.0
920,0,SRSWTI/axe,Python,28,4,32.0,1.0
921,0,SSShooter/ebook-to-mindmap,TypeScript,1104,138,163.0,2.0
922,0,SSShooter/mind-elixir-core,TypeScript,2968,397,967.0,35.0
923,0,Sage-Bionetworks/sage-monorepo,TypeScript,27,16,2256.0,11.0
924,0,Sage/carbon,TypeScript,297,87,26194.0,187.0
925,0,Saik0s/mcp-browser-use,Python,913,111,102.0,7.0
926,0,Salesably/salesably-marketplace,Python,19,4,14.0,1.0
927,0,SamJHudson01/Carmack-Council,Python,19,1,19.0,1.0
928,0,SamMorrowDrums/remarkable-mcp,Python,75,14,158.0,3.0
929,0,Sangkwun/sandy,Python,13,1,44.0,1.0
930,0,Sankhya-AI/Dhee,Python,16,1,69.0,2.0
931,0,SawyerHood/middleman,TypeScript,128,14,523.0,2.0
932,0,Scofieldfree/excalidraw-mcp,TypeScript,81,5,45.0,1.0
933,0,ScottRBK/forgetful,Python,194,16,184.0,2.0
934,0,Scottcjn/rustchain-mcp,Python,12,4,14.0,4.0
935,0,ScrapeGraphAI/just-scrape,TypeScript,10,0,58.0,2.0
936,0,Screenly/Playground,TypeScript,28,12,2086.0,14.0
937,0,Shadylukin/Neumann,Rust,73,6,576.0,3.0
938,0,ShapeCrawler/ShapeCrawler,C#,411,77,3686.0,28.0
939,0,ShieldBattery/ShieldBattery,TypeScript,183,30,4738.0,23.0
940,0,ShipSecAI/studio,TypeScript,235,27,1347.0,10.0
941,0,Shopify/flash-list,TypeScript,6980,358,935.0,63.0
942,0,Shopify/hydrogen,TypeScript,1907,386,2591.0,122.0
943,0,Shopify/shopify-app-js,TypeScript,506,210,6575.0,129.0
944,0,SinShine5/aden-hive,Python,34,4,251.0,33.0
945,0,Sitecore/content-sdk,TypeScript,32,27,1117.0,19.0
946,0,Skyscanner/backpack,TypeScript,535,206,8591.0,243.0
947,0,Snowfork/snowbridge,TypeScript,309,149,1374.0,46.0
948,0,SoFriendly/orca,JavaScript,50,3,434.0,5.0
949,0,SocialGouv/egapro,TypeScript,11,11,2582.0,35.0
950,0,SocketDev/socket-sdk-js,TypeScript,45,15,1458.0,16.0
951,0,SolidLao/GenDB,C++,36,2,62.0,1.0
952,0,Soneso/stellar-php-sdk,PHP,40,19,443.0,7.0
953,0,SpecterOps/Nemesis,Python,940,98,1149.0,14.0
954,0,SprocketLab/slop-code-bench,Python,19,2,56.0,1.0
955,0,Srajangpt1/ai_security_crew,Python,36,12,35.0,3.0
956,0,StarlightDamian/seagull,Python,14,4,133.0,1.0
957,0,StepfenShawn/kota,Rust,86,8,48.0,3.0
958,0,SujalXplores/v0.diy,TypeScript,131,72,123.0,4.0
959,0,SukramJ/aiohomematic,Python,163,25,1932.0,20.0
960,0,SumoLogic/sumologic-documentation,TypeScript,40,234,5837.0,198.0
961,0,Sunpeak-AI/sunpeak,TypeScript,156,6,466.0,3.0
962,0,Sunshow/droidgear,TypeScript,62,6,313.0,3.0
963,0,Sunwood-ai-labs/SourceSage,Python,72,1,558.0,4.0
964,0,Suvitruf/gamedev-links,Python,24,0,33.0,1.0
965,0,Svtoo/atk,Python,11,2,140.0,1.0
966,0,SwitchbackTech/compass,TypeScript,214,52,2191.0,24.0
967,0,Synerise/synerise-design,TypeScript,95,17,10421.0,57.0
968,0,THUDM/slime,Python,4758,633,1335.0,121.0
969,0,TabbyML/pochi,TypeScript,90,46,3975.0,21.0
970,0,Tahanima/playwright-java-test-automation-architecture,Java,106,92,91.0,3.0
971,0,TalAter/annyang,TypeScript,6666,1044,807.0,38.0
972,0,TaloDev/backend,TypeScript,86,9,2374.0,6.0
973,0,TanStack/cli,TypeScript,1211,152,926.0,89.0
974,0,TanStack/db,TypeScript,3650,187,828.0,59.0
975,0,TanStack/intent,TypeScript,204,5,148.0,7.0
976,0,TanStack/router,TypeScript,13858,1592,5992.0,695.0
977,0,Tencent/tdesign-react,TypeScript,938,358,5238.0,241.0
978,0,TencentBlueKing/bk-weweb,TypeScript,10,3,45.0,2.0
979,0,TencentCloudBase/CloudBase-MCP,TypeScript,973,121,930.0,11.0
980,0,TentacleOpera/switchboard,TypeScript,103,6,12.0,1.0
981,0,Teslemetry/hass-teslemetry,Python,17,8,104750.0,5158.0
982,0,ThalesGroup/fred,Python,42,15,952.0,22.0
983,0,Thank-you-Linus/Linus-Dashboard,TypeScript,180,5,449.0,3.0
984,0,The-Vibe-Company/companion,TypeScript,2192,275,434.0,16.0
985,0,TheCraigHewitt/seomachine,Python,2702,433,15.0,1.0
986,0,TheOrcDev/8bitcn-ui,TypeScript,1725,105,545.0,37.0
987,0,TheSoftwareHouse/copilot-collections,TypeScript,151,4,237.0,16.0
988,0,ThindalTV/BlazorBlocks,C#,13,1,77.0,2.0
989,0,Thinkmill/sydjs-keystatic,TypeScript,12,6,188.0,12.0
990,0,ThirdKeyAI/Symbiont,Rust,34,7,180.0,4.0
991,0,Thislu13/NewsPilot,Python,39,3,19.0,3.0
992,0,TiendaNube/nimbus-design-system,TypeScript,27,5,671.0,20.0
993,0,Tiendil/donna,Python,11,2,49.0,1.0
994,0,TippingGame/F8Framework,C#,840,130,421.0,4.0
995,0,TippingGame/F8FrameworkDemo,C#,38,10,155.0,1.0
996,0,TomerFi/switcher_webapi,Python,13,10,1612.0,16.0
997,0,Topdu/OpenOCR,Python,1285,111,303.0,19.0
998,0,Trac-Systems/intercom,JavaScript,15,292,91.0,1.0
999,0,TrainProtocol/app,JavaScript,24,1,433.0,6.0
1000,0,TryGhost/Ghost,JavaScript,52041,11382,44400.0,807.0
