Norman-bury/articlewriting-skill,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:22:46Z,283,false,false,1,0,0,0,0,0,0,0,0,0,1172189879,Norman-bury/articlewriting-skill,false,5,1,0,34,Python,main,MIT,,283,283,1,13096,2026-03-04T03:09:32Z,2026-03-13T05:52:48Z,2026-03-15T01:09:16Z,,3,,,,,,,2026-03-13T05:52:48Z,65f86b2f6728716e013256d05cf2bc355ef04993,true,false,false,,Python;PowerShell;Shell,,
OpenCut-app/OpenCut,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:23:45Z,46569,false,false,1,1,0,1,0,0,0,0,0,0,1006414368,OpenCut-app/OpenCut,false,1365,16,2,4820,TypeScript,main,MIT,https://opencut.app,46569,46569,95,23452,2025-06-22T08:02:17Z,2026-03-08T23:11:29Z,2026-03-15T00:57:40Z,,273,,,,,,,2026-03-08T23:11:29Z,26d523ebad3dfdcb682db049899ada84ac739ed7,true,false,false,,TypeScript;CSS;Dockerfile;GLSL;JavaScript,,editor;oss;videoeditor
PlatformNetwork/platform,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:24:34Z,115,false,false,1,0,0,0,0,0,0,0,0,0,972956783,PlatformNetwork/platform,false,705,6,2,13,Rust,main,Apache-2.0,,115,115,7,71697,2025-04-26T00:53:36Z,2026-03-12T16:37:55Z,2026-03-12T16:35:19Z,,2,,,,,,,2026-03-12T16:37:55Z,a964ad0a8074db4ff589c7e91f747303ad73996e,false,false,false,,Rust;Shell;Dockerfile,,
Ronin15/SDL3_HammerEngine_Template,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:26:00Z,11,false,false,1,0,0,0,0,0,0,0,0,0,954204594,Ronin15/SDL3_HammerEngine_Template,false,2118,5,0,1,C++,main,MIT,https://roninxv.itch.io/,11,11,1,37774,2025-03-24T18:08:17Z,2026-03-15T02:12:40Z,2026-03-11T12:29:22Z,,0,,,,,,,2026-03-15T02:12:40Z,0e99c9282f326549f078cf6d8e2571bd2ac05a98,true,false,false,,C++;HTML;Shell;Batchfile;Python;CMake;GLSL,,
ShunsukeHayashi/Miyabi,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:27:06Z,16,false,false,0,0,0,0,0,0,0,0,0,0,1070570167,ShunsukeHayashi/Miyabi,false,338,48,16,8,TypeScript,main,Apache-2.0,https://github.com/ShunsukeHayashi/Autonomous-Operations,16,16,6,60736,2025-10-06T06:10:41Z,2026-03-10T01:45:48Z,2026-03-10T01:45:51Z,,27,,,,,,,2026-03-10T01:45:48Z,e8069ccf672cbe9e13ba7300171cbc8a761888d2,true,false,false,,TypeScript;JavaScript;Python;Shell;TeX;Jinja;HTML;PLpgSQL;Dockerfile;CSS,,agentic-ai;agents;ai;automation;autonomous;claude-code;github-actions;issue-driven-development;parallel-execution;typescript
SolidLao/GenDB,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:28:01Z,36,false,false,1,0,0,0,0,0,0,0,0,0,1153107094,SolidLao/GenDB,false,62,7,0,2,C++,main,Apache-2.0,https://solidlao.github.io/GenDB/,36,36,1,78372,2026-02-08T22:42:00Z,2026-03-10T19:42:31Z,2026-03-13T15:13:26Z,,1,,,,,,,2026-03-10T19:42:31Z,1b2a3b380a7c7c2e06303f5e8b6f9c909f811017,false,false,false,,C++;Python;Makefile;JavaScript;Rust;Shell,,claude-code;codex;database;generative-ai;llm;multi-agent;multi-modal;query-optimization;sql
Srajangpt1/ai_security_crew,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:28:07Z,36,false,false,1,1,0,0,0,0,0,0,0,0,793903444,Srajangpt1/ai_security_crew,false,35,20,0,12,Python,main,MIT,,36,36,3,1720,2024-04-30T04:59:44Z,2026-03-12T07:26:30Z,2026-03-14T19:29:13Z,,0,,,,,,,2026-03-12T07:26:30Z,1cb29a215a6c48663044cbf5d90c6b74c86ecee4,true,false,false,,Python;Shell;Dockerfile,,
TinyAGI/tinyclaw,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:29:25Z,3113,false,false,1,1,0,0,0,0,0,0,0,0,1153146773,TinyAGI/tinyclaw,false,139,11,13,455,TypeScript,main,MIT,https://office.tinyagicompany.com/,3113,3113,9,18960,2026-02-09T00:34:11Z,2026-03-14T19:45:51Z,2026-03-14T21:50:58Z,,60,,,,,,,2026-03-14T19:45:51Z,bd97ff83613a3403d9c7800bfab56c4073f9bdf5,true,false,false,,TypeScript;Shell;JavaScript;Python;CSS,,
TopologyHealth/ClaudeFHIRSkill,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:29:27Z,40,false,false,1,0,0,0,0,0,0,0,0,0,1098535299,TopologyHealth/ClaudeFHIRSkill,false,9,4,0,4,Python,main,Apache-2.0,,40,40,2,68,2025-11-17T20:22:45Z,2026-03-02T18:04:34Z,2026-03-14T12:21:10Z,,0,,,,,,,2026-03-02T18:04:34Z,f472b762acd0511da892963ec940431f5d57c58a,true,false,false,,Python;JavaScript,,
TypiCMS/Base,known_skill_repos.csv,False,SKILL.md,,master,master,,,,,,code_search,200,none,,,,2026-04-18T20:29:32Z,1609,false,false,1,1,0,0,0,0,0,0,0,0,28512514,TypiCMS/Base,false,2432,11,568,497,PHP,master,MIT,,1609,1609,14,23453,2014-12-26T14:15:30Z,2026-03-13T16:06:03Z,2026-03-13T16:06:08Z,,4,,,,,,,2026-03-13T16:06:03Z,1aff442c2b82dde14d7333390c046004198038a3,false,false,false,,PHP;JavaScript,,cms;laravel;multilingual;php;website;website-builder
agentscope-ai/CoPaw,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:32:51Z,11481,false,false,1,1,0,0,0,0,0,0,0,0,1165324947,agentscope-ai/CoPaw,false,292,2,15,1363,Python,main,Apache-2.0,http://copaw.agentscope.io/,11481,11481,74,15460,2026-02-24T03:42:56Z,2026-03-14T15:12:14Z,2026-03-15T01:52:08Z,,473,,,,,,,2026-03-14T15:12:14Z,b9fe4975f4d1475a1dc94b61f912447835a92486,false,false,false,,Python;TypeScript;Less;PowerShell;Shell;Batchfile;CSS;JavaScript;Dockerfile;NSIS;HTML,,
agentscope-ai/agentscope-skills,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:32:55Z,55,false,false,1,0,0,0,0,0,0,0,0,0,1155917533,agentscope-ai/agentscope-skills,false,3,2,0,1,Python,main,Apache-2.0,,55,55,1,66,2026-02-12T03:42:47Z,2026-03-10T12:29:10Z,2026-03-13T12:59:38Z,,3,,,,,,,2026-03-10T12:29:10Z,076cc24e0486b0f9e2183225f23dc2e086aff9f9,false,false,false,,Python;Shell,,agentscope;claude-code;cursor;skills
ahaodev/heji,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:32:58Z,55,false,false,1,0,0,0,0,0,0,0,0,0,324589079,ahaodev/heji,false,1550,2,1,15,TypeScript,main,Apache-2.0,,55,55,3,7179,2020-12-26T16:03:17Z,2026-02-28T02:14:28Z,2026-02-28T02:14:32Z,,0,,,,,,,2026-02-28T02:14:28Z,ba2817dde38582845963d7320afe1ddc96986f7f,true,false,false,,TypeScript;Go;Kotlin;CSS;HTML;Java;JavaScript;Dockerfile;Shell,,android;bookkeeping;kotlin;mongodb;no-server;spring-boot
aldegad/agent-picker,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:34:01Z,10,false,false,1,0,0,0,0,0,0,0,0,0,1176565801,aldegad/agent-picker,false,13,2,0,1,TypeScript,main,MIT,https://github.com/aldegad/agent-picker#readme,10,10,1,194,2026-03-09T06:30:20Z,2026-03-13T09:43:12Z,2026-03-15T00:09:23Z,,0,,,,,,,2026-03-13T09:43:12Z,ee3e561a2c3a60ca3496a32979e2aff03d124f9b,false,false,false,,TypeScript;JavaScript;CSS,,coding-agents;developer-tools;dom-selection;nextjs;react;ui-inspection
alltuner/vibetuner,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:35:05Z,11,false,false,1,1,0,1,0,0,0,0,0,0,983549303,alltuner/vibetuner,false,1180,3,240,0,Python,main,MIT,https://vibetuner.alltuner.com/,11,11,4,6405,2025-05-14T14:45:53Z,2026-03-12T15:55:21Z,2026-03-12T15:55:10Z,,6,,,,,,,2026-03-12T15:55:21Z,68f566472c346d3ba7c320e697ad5ac1988b28cc,false,false,false,,Python;Jinja;CSS;Dockerfile;Shell;Just;JavaScript,,beanie-odm;boilerplate;bun;copier-template;daisyui;devops;docker;fastapi;fullstack;htmx;i18n;mongodb;python;starterkit;tailwindcss;template
andyrewlee/amux,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:35:51Z,48,false,false,1,1,0,0,0,0,0,0,0,0,1125585925,andyrewlee/amux,false,299,6,16,1,Go,main,MIT,,48,48,1,2421,2025-12-31T01:57:28Z,2026-03-12T01:47:41Z,2026-03-13T18:17:31Z,,3,,,,,,,2026-03-12T01:47:41Z,1dec63578af0a6c40cdde80f3863f5ad2e6b9956,true,false,false,,Go;Shell;Makefile,,agent-coordination;agent-orchestration;agent-swarm;ai-orchestration;conductor;git-worktree;parallel-agents;parallelexecution;terminal-ui;tui;worktree;worktrees
angristan/larafeed,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:35:51Z,54,false,false,1,0,0,0,0,0,0,0,0,0,588887083,angristan/larafeed,false,867,43,0,2,PHP,main,MIT,,54,54,3,4550,2023-01-14T11:15:13Z,2026-03-14T22:31:33Z,2026-03-09T08:55:50Z,,16,,,,,,,2026-03-14T22:31:33Z,eca2a3638f79d31c0d2106b7c556e1846443ef17,false,false,false,,PHP;TypeScript;CSS;Dockerfile;JavaScript;Blade;Shell,,chatgpt;feed;inertia;laravel;laravel-actions;mantine;react;rss
apache/juneau,known_skill_repos.csv,False,SKILL.md,,master,master,,,,,,code_search,200,none,,,,2026-04-18T20:36:48Z,92,false,false,1,0,0,1,0,0,0,0,0,0,64732665,apache/juneau,false,4889,15,0,38,Java,master,Apache-2.0,https://juneau.apache.org/,92,92,23,664354,2016-08-02T07:00:07Z,2026-03-09T20:28:57Z,2026-03-09T20:29:01Z,,6,,,,,,,2026-03-09T20:28:57Z,62a9274dd95da86154e3d060466b55bf187b4d09,true,false,false,,Java;Python;CSS;HTML;C;Shell;JavaScript;Dockerfile;Procfile,,apache;configuration;data-binding;java;jetty;json;juneau;lightweight;microservices;mocking;openapi;performance;pojo;rest-api;serialization;spring-boot;swagger;testing;xml;zero-dependency
apify/mcp-cli,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:36:54Z,381,false,false,1,1,0,0,0,0,0,0,0,0,1112733896,apify/mcp-cli,false,465,32,6,29,TypeScript,main,Apache-2.0,https://npmjs.com/package/@apify/mcpc,381,381,6,5523,2025-12-09T03:00:11Z,2026-03-14T04:01:05Z,2026-03-14T22:32:20Z,,12,,,,,,,2026-03-14T04:01:05Z,04bb48ae371c6dbf01e7b07547dc2d57b8309ae8,false,false,false,,TypeScript;Shell;JavaScript,,ai-agents;bash;claude;cli;code-mode;command-line;mcp;mcp-client;model-context-protocol;shell
appleboy/CodeGPT,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:37:00Z,1503,false,false,1,0,0,0,0,0,0,0,0,0,609542180,appleboy/CodeGPT,false,523,9,70,134,Go,main,MIT,,1503,1503,28,1646,2023-03-04T13:49:29Z,2026-03-12T08:05:07Z,2026-03-14T03:47:22Z,,9,,,,,,,2026-03-12T08:05:07Z,1fde9f47494fc918ec5e3ac2cf26395e3d37cd64,true,false,false,,Go;Shell;Go Template;Makefile;D2;Dockerfile;JavaScript,,chatgpt;chatgpt-api;git;git-hook;golang;openai;openai-api
avast/sage,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:37:58Z,131,false,false,1,1,0,0,0,0,0,0,0,0,1156212587,avast/sage,false,81,2,3,5,TypeScript,main,Apache-2.0,https://ai.gendigital.com/sage,131,131,6,3030,2026-02-12T11:48:19Z,2026-03-10T13:37:03Z,2026-03-14T13:17:34Z,,6,,,,,,,2026-03-10T13:37:03Z,d3771c745c36740615159b56cc958e1aa800daf7,true,false,false,,TypeScript;JavaScript;Shell,,agents;ai;claude-code;claude-code-plugin;cursor-ai;cursor-extension;openclaw;security;vscode-extension
barkain/claude-code-workflow-orchestration,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:38:48Z,31,false,false,1,0,0,0,0,0,0,0,0,0,1093722324,barkain/claude-code-workflow-orchestration,false,73,27,14,5,Python,main,MIT,,31,31,1,95651,2025-11-10T18:48:47Z,2026-03-14T18:08:41Z,2026-03-14T18:08:18Z,,1,,,,,,,2026-03-14T18:08:41Z,1768e0fee1400cae3d1989dd4d960328442b6471,true,false,false,,Python;Shell,,ai-agents;claude-code;claude-code-plugin;task-automation;workflow-orchestration
beadhub/beadhub,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:38:59Z,30,false,false,1,1,0,0,0,0,0,0,0,0,1148270277,beadhub/beadhub,false,187,3,0,5,Python,main,MIT,,30,30,1,1698,2026-02-02T19:17:43Z,2026-03-08T16:02:07Z,2026-03-08T15:16:21Z,,1,,,,,,,2026-03-08T16:02:07Z,0a13a1f6dd334768732f7c8c40593c343a80035a,true,false,false,,Python;TypeScript;Makefile;PLpgSQL;Shell;CSS;Dockerfile;JavaScript;HTML,,
benswift/.dotfiles,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:39:03Z,20,false,false,1,0,0,0,0,0,0,0,0,0,4605260,benswift/.dotfiles,false,2838,1,0,7,Python,main,MIT,,20,20,5,2589,2012-06-09T06:11:07Z,2026-03-12T03:42:09Z,2026-03-12T03:42:13Z,,1,,,,,,,2026-03-12T03:42:09Z,7a7fac92488585d614e7e1b7ff35175a1d6f2a5b,true,false,false,,Python;Shell;YASnippet;Emacs Lisp;GLSL;Tree-sitter Query;HTML;Scheme,,
block/goosetown,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:40:05Z,61,false,false,1,1,0,0,0,0,0,0,0,0,1161347274,block/goosetown,false,3,3,0,7,JavaScript,main,Apache-2.0,,61,61,1,4712,2026-02-19T02:13:12Z,2026-02-25T13:30:07Z,2026-03-13T14:39:16Z,,3,,,,,,,2026-02-25T13:30:07Z,0bdb3227bfd56158dfedb9a46cd30c90eb993c21,true,false,false,,JavaScript;Python;Shell;CSS;HTML,,
blueberrycongee/Lumina-Note,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:40:08Z,747,false,false,1,0,0,0,0,0,0,0,0,0,1105973710,blueberrycongee/Lumina-Note,false,1494,9,55,80,TypeScript,main,Apache-2.0,,747,747,6,40755,2025-11-28T12:34:30Z,2026-03-14T23:36:59Z,2026-03-15T01:14:51Z,,16,,,,,,,2026-03-14T23:36:59Z,ff3c8d9ff636b12c9ca6c091c51382846aed2217,true,false,false,,TypeScript;Rust;JavaScript;Python;Kotlin;Swift;CSS;Shell;HTML;Dockerfile,,ai;ai-agents;desktop-app;knowledge-graph;local-first;markdown;note-taking;own-your-data;pdf-reader;rag;react;rust;second-brain;semantic-search;tauri;typescript
blueraai/bluera-knowledge,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:40:09Z,11,false,false,1,1,0,0,0,0,0,0,0,0,1125000403,blueraai/bluera-knowledge,false,904,4,151,3,TypeScript,main,MIT,https://bluera.ai/,11,11,2,35967,2025-12-30T01:36:44Z,2026-03-12T04:51:25Z,2026-03-14T22:56:50Z,,1,,,,,,,2026-03-12T04:51:25Z,298993bd3494bc033cef722b474d94e537e7384a,true,false,false,,TypeScript;Shell;Python;JavaScript,,ai-agents;anthropic;claue-code;cli-tool;code-search;developer-tools;documentation;embedding-model;knowledge-management;mcp;offline-first;rag;retrieval;semantic-search;typescript;vector-database
bytedance-deer-flow/deer-flow-installer,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:41:27Z,19,false,false,0,0,0,0,0,0,0,0,0,0,1180249797,bytedance-deer-flow/deer-flow-installer,false,5,1,1,4,Python,main,Apache-2.0,,19,19,1,775,2026-03-12T21:18:52Z,2026-03-12T21:55:41Z,2026-03-14T19:34:08Z,,0,,,,,,,2026-03-12T21:55:41Z,61e5dc4b622084c68a20c2b6d795f7ecc2882d1e,false,false,false,,Python;HTML;Shell;JavaScript,,deer-flow;deer-flow-agent;deer-flow-download;deer-flow-installer;deerflow;deerflow-install
cadamsdev/restman,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:41:33Z,33,false,false,0,0,0,0,0,0,0,0,0,0,1135684312,cadamsdev/restman,false,76,2,2,1,TypeScript,main,MIT,https://userestman.vercel.app,33,33,1,2132,2026-01-16T12:54:06Z,2026-01-31T04:33:55Z,2026-03-12T04:04:14Z,,1,,,,,,,2026-01-31T04:33:55Z,a9d04b9c25f1df600fe4ca306eecbb4c7cb1e8f6,false,false,false,,TypeScript;Vue;Shell;PowerShell;CSS,,api;api-client;http-client;postman-alternative;rest-api;tui
calvingit/ai-tools,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:41:54Z,27,false,false,0,0,0,0,0,0,0,0,0,0,997858592,calvingit/ai-tools,false,39,1,0,8,Python,main,MIT,,27,27,2,1621,2025-06-07T10:44:48Z,2026-03-14T04:04:29Z,2026-03-14T04:04:33Z,,0,,,,,,,2026-03-14T04:04:29Z,9c710ed12613f6aa0afc9052e68d14982347dd1d,true,false,false,,Python;HTML;Shell;JavaScript,,agents;claude-code;codex;mcp;skills
ckelsoe/claude-skill-prompt-architect,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:43:22Z,32,false,false,1,0,0,0,0,0,0,0,0,0,1103259159,ckelsoe/claude-skill-prompt-architect,false,38,1,7,4,Python,main,MIT,https://github.com/ckelsoe/claude-skill-prompt-architect,32,32,1,257,2025-11-24T16:27:21Z,2026-03-10T21:42:02Z,2026-03-14T08:28:28Z,,0,,,,,,,2026-03-10T21:42:02Z,4ffc4e4bf4e97e211956508971e32012465b9ca0,true,false,false,,Python;JavaScript,,claude-code;claude-skill;prompt-engineering;prompt-frameworks;prompt-improvement
closedform/deriver,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:43:27Z,33,false,false,0,0,0,0,0,0,0,0,0,0,1135968427,closedform/deriver,false,75,4,2,1,Python,main,MIT,https://pypi.org/project/symderive/,33,33,3,10922,2026-01-16T21:15:26Z,2026-02-05T18:15:59Z,2026-03-07T18:20:12Z,,1,,,,,,,2026-02-05T18:15:59Z,34aac8e5b64a8af91c58ce13b37d43552cd1d620,true,false,false,,Python;Shell,,ai-agents;calculus;computer-algebra;physics;symbolic-math;sympy
co-r-e/dexcode,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:43:49Z,13,false,false,0,0,0,0,0,0,0,0,0,0,1164937034,co-r-e/dexcode,false,57,11,2,1,TypeScript,main,MIT,https://co-r-e.github.io/dexcode-lp/,13,13,1,5459,2026-02-23T16:43:57Z,2026-03-14T20:09:37Z,2026-03-14T20:09:40Z,,11,,,,,,,2026-03-14T20:09:37Z,7ac7cbfb9f08110f7588fc63ce976e31973d6a28,true,false,false,,TypeScript;MDX;CSS;JavaScript,,ai;mdx;nextjs;presentation;slides
copilot-community-sdk/copilot-sdk-java,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:44:39Z,57,false,false,1,1,0,1,0,0,0,0,0,0,1138688458,copilot-community-sdk/copilot-sdk-java,false,628,41,12,10,Java,main,MIT,https://copilot-community-sdk.github.io/copilot-sdk-java/,57,57,5,30897,2026-01-21T01:53:02Z,2026-03-15T01:11:49Z,2026-03-13T11:42:50Z,,3,,,,,,,2026-03-15T01:11:49Z,23618864660598da71c809cfc9651817e51b8547,false,false,false,,Java;CSS;Shell,,copilot;github;java
coreyepstein/hq-starter-kit,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:44:40Z,17,false,false,1,0,0,0,0,0,0,0,0,0,1137729490,coreyepstein/hq-starter-kit,false,170,1,1,8,TypeScript,main,MIT,,17,17,2,6678,2026-01-19T18:54:02Z,2026-03-13T01:24:50Z,2026-03-13T23:35:00Z,,4,,,,,,,2026-03-13T01:24:50Z,1ec5727717e960d042fc7d528369a62089a03d1a,true,false,false,,TypeScript;HTML;Shell;PowerShell;JavaScript;NSIS,,ai-agents;ai-workers;claude-code;developer-tools;personal-os;typescript
davidromeo/tradeblocks,known_skill_repos.csv,False,SKILL.md,,master,master,,,,,,code_search,200,none,,,,2026-04-18T20:46:42Z,34,false,false,1,0,0,0,0,0,0,0,0,0,1060819697,davidromeo/tradeblocks,false,1270,34,29,17,TypeScript,master,MIT,https://tradeblocks.io,34,34,7,11902,2025-09-20T16:54:28Z,2026-03-11T02:15:23Z,2026-03-13T15:08:25Z,,6,,,,,,,2026-03-11T02:15:23Z,15d358e1ee007bf630f6ac92784702e67c9b0e64,false,false,false,,TypeScript;JavaScript;CSS;PowerShell;Shell;Dockerfile,,
dcstrange/ClawTeam,known_skill_repos.csv,False,SKILL.md,,main,main,,,,,,code_search,200,none,,,,2026-04-18T20:46:57Z,55,false,false,0,0,0,0,0,0,0,0,0,0,1171676237,dcstrange/ClawTeam,false,6,1,0,2,TypeScript,main,MIT,,55,55,1,20708,2026-03-03T13:44:22Z,2026-03-12T10:02:17Z,2026-03-12T14:20:39Z,,0,,,,,,,2026-03-12T10:02:17Z,60b893fdb622f951f7b0751a259cc98273c05a7c,true,false,false,,TypeScript;Python;JavaScript;Shell;CSS;Dockerfile;HTML,,
